Opening Word,Word of the Day,Number of Tries
Hoard,Elder,5
Soare,Frame,6
Curve,Humor,Lost
Crane,Pause,4
Soare,Ulcer,5
Crane,Ultra,4
Spare,Robin,4
Trace,Cynic,5
Brain,Aroma,4
Crave,Caulk,5
Cupid,Shake,4
Price,Dodge,4
Prone,Swill,5
Laser,Tacit,6
Creak,Other,5
Graze,Thorn,5
Train,Trove,2
Proud,Bloke,5
Vulva,Vivid,2
Petit,Spill,3
Court,Chant,3
Crude,Choke,2
Craze,Rupee,6
Brain,Nasty,2
Grail,Mourn,5
Crain,Ahead,5
Vulva,Brine,Lost
Grain,Cloth,3
Train,Hoard,2
Roast,Sweet,4
Prone,Month,4
Grove,Lapse,3
Boner,Watch,5
Drove,Today,3
Clown,Focus,3
Frown,Smelt,3
Cruel,Tease,4
Bored,Cater,6
Spare,Movie,5
Grove,Saute,3
Score,Allow,5
Chore,Renew,4
Scarf,Their,4
